# key|value
27528|19730
83593|10474
46721|8172
6726|8701
67923|13725
34247|8959
36031|6149
77672|17123
84801|8902
94253|6314
37234|8244
90960|9462
74867|10835
76149|10868
91381|9701
70387|9706
97564|11033
82368|10029
64883|10289
95063|11320
57724|8118
75404|9752
13780|9108
63633|8900
29902|9069
76799|8764
33542|7600
26734|12260
60158|11223
90100|8532
14315|8059
37256|11163
91166|12610
13973|6265
40189|5184
62058|8222
55748|10110
77148|9462
54101|13009
14742|8593
60964|9112
46014|11067
92632|10276
73004|6944
89174|10573
73428|9716
25803|12294
35425|11734
17523|6065
94490|9482
50585|8843
21789|11210
32351|12776
29634|9841
71528|11032
91936|12971
4399|8275
89126|12246
97892|6017
75268|11613
61457|8673
19451|10529
27499|11786
27221|10148
46148|10394
75027|7232
34401|9876
37039|6578
51905|6419
83321|11635
26397|9089
75147|9854
38371|9725
22247|9579
31835|8426
52482|10151
31361|8202
96091|11321
90222|13355
79504|7189
59400|11811
11450|10314
84959|11564
2360|12982
94440|6753
62532|9073
21481|6626
36196|10497
79931|10707
24385|8419
13234|6043
47691|9644
35338|11610
26208|10341
92103|6308
5407|11840
13906|11410
37489|9402
54064|9555
65403|8410
44122|10150
71817|11842
9396|9088
37698|13943
91655|8532
34768|6196
19475|7747
18800|6442
40113|11643
97582|8245
69077|6823
25440|12751
97893|11388
74839|8548
86228|10139
48153|8772
19757|7965
44676|9242
48965|12595
44230|10885
93507|10234
56227|11160
94803|11564
8812|10645
60325|8987
75748|8764
83742|8892
39764|11409
17016|9034
33925|10414
28880|12367
55080|17514
70559|11642
68809|10301
34519|9255
49446|15922
57261|13006
93406|9247
13182|12474
33509|11943
99737|9727
9653|10248
59165|10226
20841|11842
92503|8612
99300|8773
99673|11929
58455|10917
74441|11662
99308|10269
77576|4239
14216|11742
86847|10038
11702|13562
37729|11467
39975|10480
51656|8517
7793|9988
70160|8588
48678|16896
19513|9040
37949|9471
8348|6702
22974|10734
9892|9835
49859|7547
185|10729
15563|11228
76260|7069
13484|10564
64551|9748
37320|8399
50050|13181
79629|6745
3320|11355
55914|8613
38976|9467
7782|12274
83892|10124
9458|8361
52156|9276
53075|10238
65948|11822
80706|9554
91736|11469
95624|5861
18949|6917
41208|10880
57384|11458
45888|8084
29266|9320
78377|13304
96254|13894
65713|8283
97628|12980
39406|11649
84046|9674
69746|12390
12132|8014
55066|8145
61207|11705
78260|8773
92611|8804
1479|11484
91092|11924
64058|8321
12662|9041
39712|7695
6212|11018
39140|10017
45493|6569
61846|9934
52081|13348
40148|11546
59625|8330
93481|8174
74386|8743
91288|8795
27403|9528
98301|10135
2500|11780
10605|9360
63817|8551
14068|10346
88638|9117
44780|12204
88161|7192
51033|10241
64884|7856
77826|8312
25826|9763
14974|9681
29533|10153
63542|8692
12313|10745
94797|11324
80608|10135
67259|11692
21139|7387
84658|8416
31354|8847
45659|19603
17527|8211
87227|11350
87351|8256
90981|10497
15632|9585
19618|11060
5280|9445
32694|6196
76286|7672
44355|6917
13061|13494
52427|11208
8275|11099
85153|6246
13003|9124
74788|12531
20992|10918
70198|8314
61179|9579
25570|9575
13911|9823
52779|11570
72800|9528
33055|6332
15050|8006
60403|12899
53063|13682
97260|12010
61387|10428
20200|12616
49787|10800
71216|11694
80846|10698
67559|7522
61512|6279
19442|11526
99866|9406
87135|8456
21835|8226
75822|10746
79334|8159
94287|7644
15956|8729
39433|6971
88489|14857
44360|10699
4076|10549
82784|768
54906|8719
56982|8443
92064|8779
64279|11233
22816|9917
61969|9222
10226|12802
15991|10814
52997|11676
8956|10228
63967|11075
95907|12357
50792|11846
2399|10820
80863|10656
30495|9733
30981|14732
34496|1133
93868|9724
2358|9776
85656|11611
24974|8902
77400|6190
64582|8320
58146|9127
8860|9455
16402|11251
60265|6618
67052|2712
56258|10979
14002|8359
88952|11641
9541|18670
72619|7388
17319|6463
91159|10455
58120|6926
44959|10385
8604|9966
76878|11822
66608|8181
62308|6466
67003|9172
49917|19946
1466|6094
31784|10474
99020|8749
49773|7812
19843|6157
91627|13544
35660|6053
57618|12256
88411|6776
59811|10524
19915|8489
92262|9254
86843|3222
43770|9101
49014|9444
11078|13755
68718|10488
93914|9807
74280|10871
83344|6028
80129|8005
61320|6559
8897|10094
99351|6486
94153|8172
40839|8285
12025|10940
52664|10537
87014|9962
62259|9487
25328|8114
39035|16954
5271|8640
78226|10649
24228|11133
53812|10461
55024|17346
42314|8940
8948|11090
79702|10441
48700|9301
91831|10192
20593|9933
55235|11559
56230|7973
66903|8807
1818|12762
12537|10983
68316|10690
96202|11278
58513|8552
51445|8516
38692|9265
95764|6344
50619|10692
81327|8702
65576|438
48021|13629
25247|11983
37313|12724
43121|7382
37276|11721
6|8051
90892|10366
75492|11054
70205|12184
15388|9328
5611|12178
86339|10866
6065|9356
97573|6149
22958|7807
76711|9790
59009|11324
20007|6536
77303|8445
89182|6949
98501|8146
52488|11490
32659|12190
38323|11052
97649|7018
80286|11992
69414|9361
6378|10337
68492|8895
52856|15456
46299|11701
62913|8426
39570|10455
15546|8854
61530|7091
8084|9636
8110|9100
33050|8236
67847|7041
259|9042
64553|10991
36491|6797
37753|8570
84766|12064
2742|7776
82298|11341
5523|7276
72785|8795
28226|8097
82786|10411
29111|12789
84850|13202
95670|13714
85496|15223
21773|8840
37761|12770
11038|8124
93277|9367
94704|11100
69647|13271
1573|10910
35849|10322
87528|11778
22534|8543
28613|10956
17878|9576
74311|7538
86202|11713
41844|11202
5078|13833
99339|6610
76744|9082
57239|8653
1357|8157
11085|13441
52444|8244
15599|6767
62526|9558
30359|4339
48184|10252
34332|10864
27982|11022
57022|7972
94361|9388
46977|9214
2482|7541
48863|12727
23026|8164
78863|9338
56603|12034
41390|6651
65639|7469
74475|11574
29046|9163
36450|8921
48469|8712
33952|11710
87016|8530
26383|10019
10488|11283
45578|12094
69585|11067
85244|13015
56578|9571
27886|10181
56193|13580
99725|10655
18464|10510
80761|9320
94058|8979
74619|10673
90010|3020
67688|11316
70539|10082
3093|7702
99963|9733
64195|11502
50778|8152
52456|10745
32040|635
22411|10635
72771|12749
4729|9397
28842|11910
28319|8691
70488|14698
84452|11657
93540|6806
57523|12973
82055|6918
94061|8792
56963|7837
96082|13679
37886|7106
87672|9772
91845|9897
77383|10370
60021|10998
88247|6096
58016|9232
57980|6929
7421|11069
67884|12091
96996|13740
46829|6432
49901|10112
83246|9918
2964|8212
97722|10979
35604|10747
39282|9112
55329|10513
95521|9407
35228|9197
25482|8031
41296|12454
45023|11636
36655|7077
78495|9969
12684|12051
9334|9466
80113|9786
15827|4813
53939|10105
20112|397
26755|8632
75762|9077
89565|9412
14193|12031
65673|10172
69008|8088
92321|7456
97273|8872
97675|6840
62548|10302
92882|13627
58336|10768
92150|11512
95598|7245
73091|11876
99047|7643
6963|8286
67027|10376
35857|6186
31894|8742
58243|8916
42421|6797
58590|12611
88134|13259
82868|10861
85181|9251
3155|11371
71821|13504
91890|8116
90170|8109
39289|9242
98653|10683
31954|7794
30662|10832
28779|6841
39830|6365
